pair,signal_date,entry_date,exit_date,bars_held,R,raw_entry,entry,exit,stop,target,ATR14,risk,friction,exit_reason,ADX14,open_at_end
USDJPY,2023-10-31,2023-11-01,2023-11-02,2,-1.0000000000,151.4060000000,151.4210000000,150.5359038842,150.5359038842,153.1911922316,0.8850961158,0.8850961158,0.0150000000,stop,,0
USDJPY,2024-02-02,2024-02-05,2024-03-08,25,-1.0000000000,148.4755000000,148.4905000000,147.1374039370,147.1374039370,151.1966921259,1.3530960630,1.3530960630,0.0150000000,stop,,0
USDJPY,2024-03-15,2024-03-18,2024-03-20,3,2.0000000000,148.9790000000,148.9940000000,150.9824682411,147.9997658795,150.9824682411,0.9942341205,0.9942341205,0.0150000000,target,,0
USDJPY,2024-05-07,2024-05-08,2024-06-14,28,2.0000000000,154.6060000000,154.6210000000,157.7621209609,153.0504395195,157.7621209609,1.5705604805,1.5705604805,0.0150000000,target,,0
USDJPY,2025-01-22,2025-01-23,2025-01-24,2,-1.0000000000,156.4315000000,156.4465000000,155.1149718084,155.1149718084,159.1095563832,1.3315281916,1.3315281916,0.0150000000,stop,,0
USDJPY,2025-09-18,2025-09-19,2025-10-01,9,-1.0000000000,147.9605000000,147.9755000000,146.8152571617,146.8152571617,150.2959856765,1.1602428383,1.1602428383,0.0150000000,stop,,0
USDJPY,2025-12-08,2025-12-09,2025-12-15,5,-1.0000000000,155.9180000000,155.9330000000,154.8923060526,154.8923060526,158.0143878948,1.0406939474,1.0406939474,0.0150000000,stop,,0
USDJPY,2025-12-17,2025-12-18,2026-01-09,15,2.0000000000,155.6165000000,155.6315000000,157.7265477365,154.5839761317,157.7265477365,1.0475238683,1.0475238683,0.0150000000,target,,0
USDJPY,2026-02-04,2026-02-05,2026-02-09,3,-1.0000000000,156.8280000000,156.8430000000,155.5458012246,155.5458012246,159.4373975508,1.2971987754,1.2971987754,0.0150000000,stop,,0
USDJPY,2026-04-02,2026-04-03,2026-04-08,4,-1.0000000000,159.5850000000,159.6000000000,158.4729270937,158.4729270937,161.8541458127,1.1270729063,1.1270729063,0.0150000000,stop,,0
USDJPY,2026-04-10,2026-04-13,2026-04-14,2,-1.0000000000,159.5990000000,159.6140000000,158.6285408116,158.6285408116,161.5849183768,0.9854591884,0.9854591884,0.0150000000,stop,,0
USDJPY,2026-04-21,2026-04-22,2026-04-30,7,-1.0000000000,159.3970000000,159.4120000000,158.4488112200,158.4488112200,161.3383775599,0.9631887800,0.9631887800,0.0150000000,stop,,0
